Area,ISO3 Code,Year,Demand,Net Imports,Total Generation,Clean,Nuclear,Wind and Solar,"Hydro, Bioenergy and Other Renewables",Fossil,Coal,Gas and Other Fossil,AvgPrice_EUR_MWh,MaxPrice_EUR_MWh,StdPrice_EUR_MWh
Luxembourg,LUX,2022,6.72,5.51,1.21,1.04,0.0,0.59,0.45,0.17,0.0,0.17,235.53083333333333,463.59,98.70260993678602
Luxembourg,LUX,2023,6.6,5.2,1.4,1.25,0.0,0.78,0.47,0.15,0.0,0.15,95.39083333333333,127.81,16.23070684526616
Luxembourg,LUX,2024,6.75,5.25,1.5,1.36,0.0,0.81,0.55,0.14,0.0,0.14,77.74666666666667,111.61,16.32861422240854
Montenegro,MNE,2023,3.35,-0.87,4.22,2.58,0.0,0.36,2.22,1.64,1.64,0.0,98.04555555555555,110.44,7.405778337067466
Montenegro,MNE,2024,3.54,-0.16,3.7,2.23,0.0,0.38,1.85,1.47,1.47,0.0,98.35416666666667,134.39,26.20942247580346
Netherlands,NLD,2015,117.74,8.75,108.99,17.77,4.08,8.66,5.03,91.22,39.39,51.83,40.07,46.37,3.1111938661432306
Netherlands,NLD,2016,118.87,4.91,113.96,18.74,3.96,9.77,5.01,95.22,36.82,58.4,32.222500000000004,43.5,6.392598170042943
Netherlands,NLD,2017,119.55,3.51,116.04,20.83,3.4,12.77,4.66,95.21,31.38,63.83,39.329166666666666,50.76,6.147607751036663
Netherlands,NLD,2018,121.07,7.97,113.1,22.39,3.51,14.26,4.62,90.71,27.58,63.13,52.48916666666667,63.32,8.50421121170761
Netherlands,NLD,2019,120.91,0.86,120.05,26.71,3.91,16.91,5.89,93.34,17.69,75.65,41.21583333333333,58.3,6.1503340017704184
Netherlands,NLD,2020,119.3,-2.66,121.96,36.82,4.09,23.84,8.89,85.14,7.62,77.52,32.2275,48.28,9.47938732676902
Netherlands,NLD,2021,121.05,0.25,120.8,44.18,3.83,29.34,11.01,76.62,14.6,62.02,102.64833333333333,237.8,63.3718226506119
Netherlands,NLD,2022,115.52,-4.27,119.79,52.09,4.16,38.06,9.87,67.7,14.8,52.9,241.20416666666665,447.25,86.957739627135
Netherlands,NLD,2023,114.48,-5.66,120.14,61.01,3.99,49.31,7.71,59.13,8.71,50.42,96.13416666666666,134.91,19.132823988838616
Netherlands,NLD,2024,118.29,-4.22,122.51,65.82,3.57,55.48,6.77,56.69,7.47,49.22,77.23916666666666,113.47,17.73148584161844
North Macedonia,MKD,2023,7.06,0.15,6.91,2.23,0.0,0.54,1.69,4.68,2.77,1.91,97.33,106.97,10.691505306283382
North Macedonia,MKD,2024,6.51,0.71,5.8,1.92,0.0,0.51,1.41,3.88,2.48,1.4,101.12083333333334,165.41,32.250780810374
Norway,NOR,2015,128.35,-14.65,143.0,140.07,0.0,2.52,137.55,2.93,0.04,2.89,20.225833333333334,29.19,6.657930962166079
Norway,NOR,2016,131.62,-16.41,148.03,145.15,0.0,2.11,143.04,2.88,0.04,2.84,26.131666666666664,38.13,5.399657957741961
Norway,NOR,2017,133.11,-15.16,148.27,145.48,0.0,2.85,142.63,2.79,0.04,2.75,28.598333333333333,31.5,2.5700294774868846
Norway,NOR,2018,135.79,-10.15,145.94,143.05,0.0,3.87,139.18,2.89,0.04,2.85,43.54,51.76,6.714092370800123
Norway,NOR,2019,133.87,0.04,133.83,131.07,0.0,5.53,125.54,2.76,0.04,2.72,39.015,54.48,6.874098287974013
Norway,NOR,2020,133.85,-20.47,154.32,152.03,0.0,9.99,142.04,2.29,0.04,2.25,9.245,24.23,6.722801769825111
